"DOY","State","name","value"
1,"New South Wales","X20022003",6
1,"New South Wales","X20032004",2
1,"New South Wales","X20042005",146
1,"New South Wales","X20052006",3
1,"New South Wales","X20062007",14
1,"New South Wales","X20072008",21
1,"New South Wales","X20082009",17
1,"New South Wales","X20092010",14
1,"New South Wales","X20102011",4
1,"New South Wales","X20112012",66
1,"New South Wales","X20122013",4
1,"New South Wales","X20132014",6
1,"New South Wales","X20142015",7
1,"New South Wales","X20152016",11
1,"New South Wales","X20162017",7
1,"New South Wales","X20172018",8
1,"New South Wales","X20182019",2
1,"New South Wales","X20192020",52
2,"New South Wales","X20022003",23
2,"New South Wales","X20032004",1
2,"New South Wales","X20042005",70
2,"New South Wales","X20052006",3
2,"New South Wales","X20062007",6
2,"New South Wales","X20072008",9
2,"New South Wales","X20082009",32
2,"New South Wales","X20092010",16
2,"New South Wales","X20102011",1
2,"New South Wales","X20112012",47
2,"New South Wales","X20122013",5
2,"New South Wales","X20132014",23
2,"New South Wales","X20142015",43
2,"New South Wales","X20152016",2
2,"New South Wales","X20162017",5
2,"New South Wales","X20172018",22
2,"New South Wales","X20182019",25
2,"New South Wales","X20192020",60
3,"New South Wales","X20022003",59
3,"New South Wales","X20032004",7
3,"New South Wales","X20042005",45
3,"New South Wales","X20052006",6
3,"New South Wales","X20062007",8
3,"New South Wales","X20072008",8
3,"New South Wales","X20082009",19
3,"New South Wales","X20092010",8
3,"New South Wales","X20102011",2
3,"New South Wales","X20112012",19
3,"New South Wales","X20122013",3
3,"New South Wales","X20132014",21
3,"New South Wales","X20142015",27
3,"New South Wales","X20152016",8
3,"New South Wales","X20162017",12
3,"New South Wales","X20172018",4
3,"New South Wales","X20182019",31
3,"New South Wales","X20192020",53
4,"New South Wales","X20022003",81
4,"New South Wales","X20032004",12
4,"New South Wales","X20042005",12
4,"New South Wales","X20052006",6
4,"New South Wales","X20062007",39
4,"New South Wales","X20072008",20
4,"New South Wales","X20082009",28
4,"New South Wales","X20092010",9
4,"New South Wales","X20102011",8
4,"New South Wales","X20112012",14
4,"New South Wales","X20122013",21
4,"New South Wales","X20132014",38
4,"New South Wales","X20142015",31
4,"New South Wales","X20152016",1
4,"New South Wales","X20162017",13
4,"New South Wales","X20172018",26
4,"New South Wales","X20182019",47
4,"New South Wales","X20192020",33
5,"New South Wales","X20022003",74
5,"New South Wales","X20032004",24
5,"New South Wales","X20042005",34
5,"New South Wales","X20052006",54
5,"New South Wales","X20062007",20
5,"New South Wales","X20072008",21
5,"New South Wales","X20082009",16
5,"New South Wales","X20092010",4
5,"New South Wales","X20102011",4
5,"New South Wales","X20112012",12
5,"New South Wales","X20122013",15
5,"New South Wales","X20132014",12
5,"New South Wales","X20142015",13
5,"New South Wales","X20152016",5
5,"New South Wales","X20162017",1
5,"New South Wales","X20172018",25
5,"New South Wales","X20182019",77
5,"New South Wales","X20192020",23
6,"New South Wales","X20022003",72
6,"New South Wales","X20032004",15
6,"New South Wales","X20042005",44
6,"New South Wales","X20052006",15
6,"New South Wales","X20062007",47
6,"New South Wales","X20072008",27
6,"New South Wales","X20082009",16
6,"New South Wales","X20092010",7
6,"New South Wales","X20102011",1
6,"New South Wales","X20112012",15
6,"New South Wales","X20122013",18
6,"New South Wales","X20132014",14
6,"New South Wales","X20142015",13
6,"New South Wales","X20152016",14
6,"New South Wales","X20162017",2
6,"New South Wales","X20172018",23
6,"New South Wales","X20182019",14
6,"New South Wales","X20192020",21
7,"New South Wales","X20022003",32
7,"New South Wales","X20032004",8
7,"New South Wales","X20042005",58
7,"New South Wales","X20052006",17
7,"New South Wales","X20062007",20
7,"New South Wales","X20072008",5
7,"New South Wales","X20082009",3
7,"New South Wales","X20092010",7
7,"New South Wales","X20102011",3
7,"New South Wales","X20112012",8
7,"New South Wales","X20122013",33
7,"New South Wales","X20132014",8
7,"New South Wales","X20142015",39
7,"New South Wales","X20152016",14
7,"New South Wales","X20162017",0.1
7,"New South Wales","X20172018",23
7,"New South Wales","X20182019",20
7,"New South Wales","X20192020",10
8,"New South Wales","X20022003",75
8,"New South Wales","X20032004",2
8,"New South Wales","X20042005",37
8,"New South Wales","X20052006",1
8,"New South Wales","X20062007",20
8,"New South Wales","X20072008",0.1
8,"New South Wales","X20082009",4
8,"New South Wales","X20092010",7
8,"New South Wales","X20102011",5
8,"New South Wales","X20112012",30
8,"New South Wales","X20122013",21
8,"New South Wales","X20132014",32
8,"New South Wales","X20142015",29
8,"New South Wales","X20152016",12
8,"New South Wales","X20162017",8
