"week","name","state","DOY","value"
1,"X20022003","New South Wales",28,347
1,"X20022003","Queensland",28,731
1,"X20022003","Victoria",28,1.6
1,"X20032004","New South Wales",28,69
1,"X20032004","Queensland",28,433
1,"X20032004","Victoria",28,5.4
1,"X20042005","New South Wales",28,409
1,"X20042005","Queensland",28,860
1,"X20042005","Victoria",28,20.3
1,"X20052006","New South Wales",28,104
1,"X20052006","Queensland",28,266
1,"X20052006","Victoria",28,12.5
1,"X20062007","New South Wales",28,154
1,"X20062007","Queensland",28,457
1,"X20062007","Victoria",28,6.5
1,"X20072008","New South Wales",28,111
1,"X20072008","Queensland",28,603
1,"X20072008","Victoria",28,3.6
1,"X20082009","New South Wales",28,131
1,"X20082009","Queensland",28,478
1,"X20082009","Victoria",28,5.4
1,"X20092010","New South Wales",28,65
1,"X20092010","Queensland",28,397
1,"X20092010","Victoria",28,14.4
1,"X20102011","New South Wales",28,23
1,"X20102011","Queensland",28,185
1,"X20102011","Victoria",28,6.4
1,"X20112012","New South Wales",28,181
1,"X20112012","Queensland",28,841
1,"X20112012","Victoria",28,7.5
1,"X20122013","New South Wales",28,99
1,"X20122013","Queensland",28,553
1,"X20122013","Victoria",28,2.6
1,"X20132014","New South Wales",28,122
1,"X20132014","Queensland",28,477
1,"X20132014","Victoria",28,15.3
1,"X20142015","New South Wales",28,173
1,"X20142015","Queensland",28,1041
1,"X20142015","Victoria",28,4.5
1,"X20152016","New South Wales",28,55
1,"X20152016","Queensland",28,280
1,"X20152016","Victoria",28,7.4
1,"X20162017","New South Wales",28,40.1
1,"X20162017","Queensland",28,647
1,"X20162017","Victoria",28,5.5
1,"X20172018","New South Wales",28,131
1,"X20172018","Queensland",28,355
1,"X20172018","Victoria",28,18.3
1,"X20182019","New South Wales",28,216
1,"X20182019","Queensland",28,505
1,"X20182019","Victoria",28,12.4
1,"X20192020","New South Wales",28,252
1,"X20192020","Queensland",28,713
1,"X20192020","Victoria",28,28.1
2,"X20022003","New South Wales",77,566
2,"X20022003","Queensland",77,773
2,"X20022003","Victoria",77,16.3
2,"X20032004","New South Wales",77,74
2,"X20032004","Queensland",77,338
2,"X20032004","Victoria",77,11.3
2,"X20042005","New South Wales",77,143
2,"X20042005","Queensland",77,679
2,"X20042005","Victoria",77,5.6
2,"X20052006","New South Wales",77,28.1
2,"X20052006","Queensland",77,502
2,"X20052006","Victoria",77,1.6
2,"X20062007","New South Wales",77,357
2,"X20062007","Queensland",77,431
2,"X20062007","Victoria",77,17.3
2,"X20072008","New South Wales",77,126.1
2,"X20072008","Queensland",77,713
2,"X20072008","Victoria",77,1.6
2,"X20082009","New South Wales",77,49
2,"X20082009","Queensland",77,220
2,"X20082009","Victoria",77,6.3
2,"X20092010","New South Wales",77,92
2,"X20092010","Queensland",77,601
2,"X20092010","Victoria",77,21.3
2,"X20102011","New South Wales",77,42
2,"X20102011","Queensland",77,251
2,"X20102011","Victoria",77,7.4
2,"X20112012","New South Wales",77,124
2,"X20112012","Queensland",77,1002
2,"X20112012","Victoria",77,2.5
2,"X20122013","New South Wales",77,75.2
2,"X20122013","Queensland",77,163
2,"X20122013","Victoria",77,5.4
2,"X20132014","New South Wales",77,84.1
2,"X20132014","Queensland",77,262
2,"X20132014","Victoria",77,14.3
2,"X20142015","New South Wales",77,260
2,"X20142015","Queensland",77,931
2,"X20142015","Victoria",77,2.6
2,"X20152016","New South Wales",77,32.2
2,"X20152016","Queensland",77,1115
2,"X20152016","Victoria",77,2.6
2,"X20162017","New South Wales",77,41
2,"X20162017","Queensland",77,702
2,"X20162017","Victoria",77,2.6
2,"X20172018","New South Wales",77,200
2,"X20172018","Queensland",77,465
2,"X20172018","Victoria",77,5.3
