"Date","name","value","DateNum"
"2019-08-01","RANDWICK",35,0
"2019-08-01","LIVERPOOL",51,0
"2019-08-01","BRINGELLY",39,0
"2019-08-01","CHULLORA",50,0
"2019-08-01","EARLWOOD",31,0
"2019-08-01","WYONG",37,0
"2019-08-01","CARRINGTON",34,0
"2019-08-01","STOCKTON",56,0
"2019-08-01","NEWCASTLE",31,0
"2019-08-01","BERESFIELD",35,0
"2019-08-01","TAMWORTH",54,0
"2019-08-01","WOLLONGONG",29,0
"2019-08-01","RICHMOND",42,0
"2019-08-01","BARGO",39,0
"2019-08-01","ALBURY",40,0
"2019-08-01","BATHURST",31,0
"2019-08-01","OAKDALE",40,0
"2019-08-01","PROSPECT",39,0
"2019-08-01","SINGLETON",35,0
"2019-08-01","CAMBERWELL",41,0
"2019-08-01","BULGA",32,0
"2019-08-01","WYBONG",32,0
"2019-08-01","ABERDEEN",39,0
"2019-08-01","WARKWORTH",33,0
"2019-08-01","CAMDEN",39,0
"2019-08-01","NARRABRI",13,0
"2019-08-01","GUNNEDAH",41,0
"2019-08-01","ARMIDALE",174,0
"2019-08-01","ORANGE",58,0
"2019-08-01","GOULBURN",-1,0
"2019-08-02","RANDWICK",37,1
"2019-08-02","LIVERPOOL",63,1
"2019-08-02","BRINGELLY",37,1
"2019-08-02","CHULLORA",47,1
"2019-08-02","EARLWOOD",42,1
"2019-08-02","WYONG",30,1
"2019-08-02","CARRINGTON",49,1
"2019-08-02","STOCKTON",66,1
"2019-08-02","NEWCASTLE",44,1
"2019-08-02","BERESFIELD",46,1
"2019-08-02","TAMWORTH",51,1
"2019-08-02","WOLLONGONG",29,1
"2019-08-02","RICHMOND",70,1
"2019-08-02","BARGO",39,1
"2019-08-02","ALBURY",45,1
"2019-08-02","BATHURST",41,1
"2019-08-02","OAKDALE",42,1
"2019-08-02","PROSPECT",42,1
"2019-08-02","SINGLETON",44,1
"2019-08-02","CAMBERWELL",39,1
"2019-08-02","BULGA",28,1
"2019-08-02","WYBONG",42,1
"2019-08-02","ABERDEEN",44,1
"2019-08-02","WARKWORTH",38,1
"2019-08-02","CAMDEN",41,1
"2019-08-02","NARRABRI",15,1
"2019-08-02","GUNNEDAH",50,1
"2019-08-02","ARMIDALE",138,1
"2019-08-02","ORANGE",56,1
"2019-08-02","GOULBURN",-1,1
"2019-08-03","RANDWICK",55,2
"2019-08-03","LIVERPOOL",60,2
"2019-08-03","BRINGELLY",54,2
"2019-08-03","CHULLORA",55,2
"2019-08-03","EARLWOOD",59,2
"2019-08-03","WYONG",42,2
"2019-08-03","CARRINGTON",46,2
"2019-08-03","STOCKTON",69,2
"2019-08-03","NEWCASTLE",47,2
"2019-08-03","BERESFIELD",49,2
"2019-08-03","TAMWORTH",56,2
"2019-08-03","WOLLONGONG",30,2
"2019-08-03","RICHMOND",80,2
"2019-08-03","BARGO",38,2
"2019-08-03","ALBURY",44,2
"2019-08-03","BATHURST",44,2
"2019-08-03","OAKDALE",40,2
"2019-08-03","PROSPECT",59,2
"2019-08-03","SINGLETON",60,2
"2019-08-03","CAMBERWELL",101,2
"2019-08-03","BULGA",36,2
"2019-08-03","WYBONG",31,2
"2019-08-03","ABERDEEN",42,2
"2019-08-03","WARKWORTH",52,2
"2019-08-03","CAMDEN",39,2
"2019-08-03","NARRABRI",19,2
"2019-08-03","GUNNEDAH",64,2
"2019-08-03","ARMIDALE",144,2
"2019-08-03","ORANGE",79,2
"2019-08-03","GOULBURN",-1,2
"2019-08-04","RANDWICK",38,3
"2019-08-04","LIVERPOOL",38,3
"2019-08-04","BRINGELLY",39,3
"2019-08-04","CHULLORA",35,3
"2019-08-04","EARLWOOD",36,3
"2019-08-04","WYONG",37,3
"2019-08-04","CARRINGTON",60,3
"2019-08-04","STOCKTON",91,3
"2019-08-04","NEWCASTLE",57,3
"2019-08-04","BERESFIELD",55,3
"2019-08-04","TAMWORTH",64,3
"2019-08-04","WOLLONGONG",30,3
"2019-08-04","RICHMOND",99,3
"2019-08-04","BARGO",39,3
"2019-08-04","ALBURY",43,3
"2019-08-04","BATHURST",27,3
"2019-08-04","OAKDALE",44,3
"2019-08-04","PROSPECT",37,3
"2019-08-04","SINGLETON",64,3
"2019-08-04","CAMBERWELL",98,3
"2019-08-04","BULGA",58,3
"2019-08-04","WYBONG",38,3
"2019-08-04","ABERDEEN",51,3
"2019-08-04","WARKWORTH",59,3
"2019-08-04","CAMDEN",41,3
"2019-08-04","NARRABRI",19,3
"2019-08-04","GUNNEDAH",76,3
"2019-08-04","ARMIDALE",107,3
"2019-08-04","ORANGE",78,3
"2019-08-04","GOULBURN",-1,3
"2019-08-05","RANDWICK",36,4
"2019-08-05","LIVERPOOL",63,4
"2019-08-05","BRINGELLY",61,4
"2019-08-05","CHULLORA",107,4
"2019-08-05","EARLWOOD",46,4
"2019-08-05","WYONG",40,4
"2019-08-05","CARRINGTON",55,4
"2019-08-05","STOCKTON",80,4
"2019-08-05","NEWCASTLE",48,4
"2019-08-05","BERESFIELD",64,4
"2019-08-05","TAMWORTH",58,4
"2019-08-05","WOLLONGONG",38,4
"2019-08-05","RICHMOND",75,4
"2019-08-05","BARGO",46,4
"2019-08-05","ALBURY",37,4
"2019-08-05","BATHURST",38,4
"2019-08-05","OAKDALE",47,4
"2019-08-05","PROSPECT",58,4
"2019-08-05","SINGLETON",65,4
"2019-08-05","CAMBERWELL",83,4
"2019-08-05","BULGA",47,4
"2019-08-05","WYBONG",39,4
"2019-08-05","ABERDEEN",43,4
