"year","week","name","value","week_abs"
2019,31,"ABERDEEN",219,0
2019,31,"ALBURY",209,0
2019,31,"ARMIDALE",657,0
2019,31,"BARGO",201,0
2019,31,"BATHURST",181,0
2019,31,"BERESFIELD",249,0
2019,31,"BRINGELLY",230,0
2019,31,"BULGA",201,0
2019,31,"CAMBERWELL",362,0
2019,31,"CAMDEN",204,0
2019,31,"CARRINGTON",244,0
2019,31,"CHULLORA",294,0
2019,31,"EARLWOOD",214,0
2019,31,"GOULBURN",-5,0
2019,31,"GUNNEDAH",316,0
2019,31,"LIVERPOOL",275,0
2019,31,"NARRABRI",86,0
2019,31,"NEWCASTLE",227,0
2019,31,"OAKDALE",213,0
2019,31,"ORANGE",353,0
2019,31,"PROSPECT",235,0
2019,31,"RANDWICK",201,0
2019,31,"RICHMOND",366,0
2019,31,"SINGLETON",268,0
2019,31,"STOCKTON",362,0
2019,31,"TAMWORTH",283,0
2019,31,"WARKWORTH",239,0
2019,31,"WOLLONGONG",156,0
2019,31,"WYBONG",182,0
2019,31,"WYONG",186,0
2019,32,"ABERDEEN",407,1
2019,32,"ALBURY",164,1
2019,32,"ARMIDALE",914,1
2019,32,"BARGO",271,1
2019,32,"BATHURST",218,1
2019,32,"BERESFIELD",423,1
2019,32,"BRINGELLY",315,1
2019,32,"BULGA",284,1
2019,32,"CAMBERWELL",881,1
2019,32,"CAMDEN",315,1
2019,32,"CARRINGTON",424,1
2019,32,"CHULLORA",367,1
2019,32,"EARLWOOD",300,1
2019,32,"GOULBURN",-7,1
2019,32,"GUNNEDAH",516,1
2019,32,"LIVERPOOL",360,1
2019,32,"NARRABRI",229,1
2019,32,"NEWCASTLE",354,1
2019,32,"OAKDALE",286,1
2019,32,"ORANGE",439,1
2019,32,"PROSPECT",335,1
2019,32,"RANDWICK",291,1
2019,32,"RICHMOND",377,1
2019,32,"SINGLETON",530,1
2019,32,"STOCKTON",551,1
2019,32,"TAMWORTH",508,1
2019,32,"WARKWORTH",377,1
2019,32,"WOLLONGONG",183,1
2019,32,"WYBONG",267,1
2019,32,"WYONG",315,1
2019,33,"ABERDEEN",292,2
2019,33,"ALBURY",248,2
2019,33,"ARMIDALE",921,2
2019,33,"BARGO",305,2
2019,33,"BATHURST",229,2
2019,33,"BERESFIELD",386,2
2019,33,"BRINGELLY",343,2
2019,33,"BULGA",289,2
2019,33,"CAMBERWELL",648,2
2019,33,"CAMDEN",288,2
2019,33,"CARRINGTON",392,2
2019,33,"CHULLORA",483,2
2019,33,"EARLWOOD",293,2
2019,33,"GOULBURN",-7,2
2019,33,"GUNNEDAH",553,2
