"Year","Australia","New.South.Wales","Northern.Territory","Queensland","South.Australia","Tasmania","Victoria","Western.Australia","Annotation"
1910,69.53,-41.63,124.86,191.66,60.94,149.27,30.33,-2.87,""
1911,-29.1,31.43,-117.76,99.78,-14.46,-44.43,73.1,-106.44,""
1912,-81.24,-125.11,-143.61,-112.89,-20.33,15.89,-78.57,-38.98,""
1913,-21.11,-65.06,-64.45,88.41,-33.02,-120.41,-48.5,-50.04,""
1914,-41.01,-93.74,-37.85,-29.01,-54.63,-340.8,-265.77,-0.02,""
1915,-84.19,-193.9,-119.13,-252.81,-67.75,159.96,-61.87,72.08,""
1916,64.56,88.66,13.28,145.48,55.07,300.66,131.63,19.06,""
1917,111.97,67.83,10.77,211.83,77.14,248.26,160.82,116.35,""
1918,-35.19,-166.21,-89.99,32.68,-65.18,-108.02,-23.38,2.03,""
1919,-100.01,-204.23,-62.23,-230.73,-51.88,-198.84,-70.92,-14.4,""
1920,48.53,21.12,52.67,126.87,100,-107.16,-3.3,-10.6,""
1921,84.39,119.98,108.12,160.3,74.26,-114.16,16.79,22.94,""
1922,-49.83,-167.33,31.04,-87.15,-31.75,-41.75,-100.18,-30.84,""
1923,-54.71,-140.76,25.56,-221.1,-25.09,316.35,10.87,19.29,""
1924,-56.76,-22.34,-127.67,98.34,-48.97,210.1,93.62,-161.91,""
1925,-44.67,-50.34,-61.7,-45.56,-73.8,-263.58,-129.16,-8.34,""
1926,-52.33,-58.64,-32.12,-224.16,-40.66,-3.24,-66.38,53.68,""
1927,-48.31,-162.89,-132.31,-10.64,-76.52,-180.47,-169.72,33,""
1928,-105.64,-57.06,-209.07,-84.85,-101.33,178,14.35,-101.56,""
1929,-87.57,-125.08,-130.81,-68.86,-103.02,160.32,-99.3,-64.61,""
1930,24.91,-32.43,75.27,26.82,-10.42,-142.76,3.54,36.15,""
1931,-30.11,62.15,-108.8,-113.29,-21.55,260.79,23.84,22.92,""
1932,-79.89,-107.46,-59.53,-203.14,-7.65,-59.16,23.37,-34.87,""
1933,-21.52,-20.7,-58.66,74.4,-47.54,-232.1,-27.6,-52.49,""
1934,-27.45,46.92,-132.33,-60.29,-63.27,-182.24,59.82,36.22,""
1935,-116.33,-171.09,-112.07,-213.48,-32.48,88.37,27.12,-85.01,""
1936,-61.56,-10.46,-115.71,61.38,-55.04,-4.51,9.22,-145.52,""
1937,-80.22,-123.2,-59.05,-127.83,-35.7,-115.64,-127.35,-56.69,""
1938,-102.33,-162.41,-116.92,-110.24,-31.76,58.24,-243.7,-88.52,""
1939,26.35,17.44,12.47,47.73,42.64,225.08,130.9,0.56,""
1940,-70.61,-251.05,13.23,44.94,-100.06,-172.29,-224.26,-107.38,""
1941,14.35,-123.37,93.97,78.86,-2.7,-96.77,-27.03,-13.74,""
1942,64.76,-18.63,-40.12,5.66,50.3,25.95,35.15,197.61,""
1943,-76.5,-113.06,-112.08,-111.51,-67.56,-127.01,-143.69,-17.66,""
1944,-85.47,-246.56,39.42,-40.74,-100.14,48.09,-219.32,-114.72,""
1945,-56.06,-87.72,-41.98,-96.99,-4.33,-119.75,-121.71,-37.59,""
1946,-58.92,-122.4,-75.17,-144.33,29.2,353.35,97.95,-30.37,""
1947,34.1,69.54,-49.82,34.13,30.12,349.36,76.31,56.32,""
1948,-80.56,-64.5,-102.75,-176.54,-66.04,150.54,-43.18,-22.7,""
1949,10.91,67.8,-37.21,96.16,-9.4,-120.04,10.36,-30.08,""
1950,161.46,360.31,125.6,489.65,75.76,-276.69,38.14,-55.61,""
1951,-96.76,-99.35,-163.61,-152.81,-55.05,2.94,76.94,-56.87,""
1952,-82.03,62.42,-215.47,-125.15,8.23,289.77,215.87,-101.89,""
1953,-39.9,-110.18,-29.5,-31.63,-1.3,134.19,11,-52.57,""
1954,-5.49,10.66,-112.29,187.31,-34.94,-53.02,-2.46,-75.59,""
1955,107.14,152.67,-17.35,202.19,110.08,88.24,130.29,89.06,""
1956,135.26,301.27,66,408.26,20.11,370.61,241.72,-41.93,""
1957,-77.36,-221.06,25.78,-105.05,-82.36,-87.67,-109.74,-60.13,""
1958,-47.47,-10.57,-210.01,-20.76,17.52,267.2,24.61,-32.97,""
1959,-51.67,54.38,-84.67,4,-91.05,-218.04,-77.14,-85.46,""
1960,-7.64,-37.35,-25.02,-96.06,-18.83,26.84,132.94,63.09,""
1961,-129.9,6.63,-292.25,-171.43,-99.67,-249.85,-75.58,-74.36,""
1962,-29.61,61.13,-87.57,-17.25,-45.72,93.05,-35.29,-33.64,""
1963,9.55,109.57,-134.39,7.17,-46.84,-307.47,4.03,85.01,""
1964,-40.04,-58.33,-92.56,4.55,-37,314.32,119.55,-62.3,""
1965,-120.32,-215.29,-134.81,-191.85,-95.47,-80.26,-130.72,-42.02,""
1966,-68.47,-79.85,-82.45,-186.32,27.1,-143.58,49.94,-22.52,""
1967,-37.15,-158.68,39.22,-74.07,-81.47,-303.07,-294.97,36.08,""
1968,78.5,-26.4,139.57,10.47,91.41,326.5,45.74,119.41,""
1969,-55.24,45.98,-10.72,-180.93,-4.46,64.7,-6.19,-52.33,""
1970,-85.63,-5.25,-192.36,-89.29,-80.47,270.48,124.95,-83.74,""
1971,20.3,26.79,-45.74,107.43,-0.7,245.36,85.72,-10.95,""
1972,-103.78,-101.9,-108.86,-48.61,-83.67,-247.23,-177.9,-137.41,""
1973,175.07,172.51,162.12,258.17,153.31,189.41,235.02,127.9,""
1974,294.54,239.38,461.41,402.7,224.23,142.83,242.17,186.42,""
1975,127.75,42.76,258.25,168.85,81.5,338.22,96.78,74.3,""
1976,56.92,112.37,175.69,169.69,32.93,-63.68,-92.81,-75.48,""
1977,3.83,-84.42,208.26,80.97,-63.52,-42.24,-115.59,-89.47,""
1978,51.35,145.17,23.59,12.2,15.91,-46.93,145.49,70.35,""
1979,-14.23,-132.54,-17.84,35.65,91.4,-5.28,-66.22,-45.47,""
1980,-36.28,-169.48,-18.73,-131.67,-35.37,55.71,-50.09,62.69,""
1981,61.31,-9.1,95.29,169.3,34.85,27.4,36.51,5.23,""
1982,-50.9,-228.22,34.12,-187.39,-76.98,-243.5,-286.18,93.89,""
1983,26.95,111.72,-16.23,40.5,3.98,-168.94,93.21,20.55,""
1984,80.42,103.5,144.9,89.25,14.03,98.65,-14.26,67.42,""
1985,-68.5,-23.64,-87.11,-72.04,-57.99,-82.89,20.77,-82.97,""
1986,-80.1,-117.7,-120.69,-150.65,-23.38,80.82,-2.35,-31.27,""
1987,-15.95,-21.15,30.91,-57.64,-15.65,-118.93,-39.19,-5.35,""
1988,-11.77,120.02,-84.5,-63.05,8.5,31.99,52.4,3.8,""
1989,14.27,70.2,-70.96,82.98,96.67,-147.42,59.89,-39.55,""
1990,-52.87,64.19,-175.55,-17.65,-27.43,-28.09,-24.8,-64.35,""
1991,-5.22,-85.91,30.44,77.13,-54.73,30.82,0.77,-36.45,""
1992,-18.13,66.1,-165.71,-113.06,123.4,75.95,185.97,20.42,""
1993,21.92,-3.24,131.94,-117.93,27.7,64.35,91.64,59.46,""
1994,-127.36,-201.38,-115.51,-190.01,-102.47,-2.96,-173.51,-74.73,""
1995,52.12,21.69,16.9,-16.13,23.82,-15.3,50.03,141,""
1996,-3.78,35.3,-81.81,-1.65,-42.05,253.11,40.46,27.57,""
1997,48.13,-92.78,73.73,63.92,25.42,-143.88,-199.53,106.54,""
1998,82.82,70.14,19.38,160.28,32.42,-101.72,-47.29,103.27,""
1999,112.74,93.53,93.92,158.07,-23.02,-180.33,-61.6,174.82,""
2000,244.54,61.35,459.08,273.77,59.51,-54.09,-2.21,275.02,""
2001,76.76,-77.76,313.52,-112.46,85.9,-33.25,-46.04,144.49,""
2002,-133.49,-242.47,-144.9,-237.17,-96.97,-15.04,-199.24,-31.47,""
2003,3.88,-75.09,136.76,-98.32,15.06,31.58,-48.53,30.36,""
2004,25.55,-66.78,81.85,-17.8,-21.04,48.65,-81.02,83.89,""
2005,-71.74,-62.89,-72.83,-150.48,-25.09,78.3,-41.38,-44.58,""
