"Date","Sydney.central.east","Sydney.north.west","Sydney.south.west","Illawarra","Lower.Hunter"
1994-01-01,45,73,70,57,53
1994-01-02,41,59,63,59,91
1994-01-03,40,57,61,51,208
1994-01-04,27,36,32,38,145
1994-01-05,37,47,50,100,171
1994-01-06,43,62,62,32,156
1994-01-07,64,485,445,227,193
1994-01-08,84,470,82,43,179
1994-01-09,31,488,97,27,480
1994-01-10,18,244,147,35,50
1994-01-11,150,443,201,79,65
1994-01-12,138,488,128,159,488
1994-01-13,263,488,472,448,113
1994-01-14,87,356,165,104,270
1994-01-15,16,21,30,18,25
1994-01-16,25,41,42,37,25
1994-01-17,57,61,61,108,43
1994-01-18,83,102,130,73,60
1994-01-19,27,59,53,23,43
1994-01-20,24,52,69,26,45
1994-01-21,39,54,43,44,55
1994-01-22,16,29,29,17,18
1994-01-23,25,43,55,40,24
1994-01-24,22,52,49,39,29
1994-01-25,23,56,53,32,20
1994-01-26,14,41,42,27,17
1994-01-27,25,62,60,44,27
1994-01-28,14,37,34,21,15
1994-01-29,28,45,49,51,21
1994-01-30,19,53,52,24,18
1994-01-31,12,36,32,14,15
1994-02-01,28,43,63,42,24
1994-02-02,33,46,39,38,33
1994-02-03,19,43,45,23,38
1994-02-04,27,44,48,35,51
1994-02-05,28,65,72,33,43
1994-02-06,58,80,104,79,44
1994-02-07,66,111,95,96,68
1994-02-08,36,102,110,33,59
1994-02-09,54,67,88,37,42
1994-02-10,24,106,121,46,56
1994-02-11,62,72,78,60,49
1994-02-12,22,35,26,30,32
1994-02-13,17,60,31,34,41
1994-02-14,12,59,40,28,44
1994-02-15,30,35,39,73,37
1994-02-16,74,58,67,120,48
1994-02-17,29,58,51,52,63
1994-02-18,19,43,35,43,37
1994-02-19,19,24,30,37,22
1994-02-20,16,24,29,35,20
1994-02-21,21,39,35,29,22
1994-02-22,45,59,68,51,49
1994-02-23,80,62,76,40,45
1994-02-24,81,61,45,51,50
1994-02-25,93,59,49,33,32
1994-02-26,20,73,70,27,21
1994-02-27,50,70,70,62,32
1994-02-28,46,59,50,47,32
1994-03-01,34,33,29,39,32
1994-03-02,36,33,34,32,42
1994-03-03,57,69,50,53,45
1994-03-04,49,68,71,76,28
1994-03-05,72,52,79,47,56
1994-03-06,38,57,70,50,52
1994-03-07,27,39,40,26,46
1994-03-08,40,43,30,31,29
1994-03-09,20,29,30,28,31
1994-03-10,42,41,41,32,38
1994-03-11,28,45,35,26,46
1994-03-12,20,24,20,19,25
1994-03-13,18,22,21,17,23
1994-03-14,29,34,29,28,36
1994-03-15,55,55,52,39,54
1994-03-16,57,71,69,63,55
1994-03-17,22,65,36,32,35
1994-03-18,18,49,29,31,24
1994-03-19,20,25,20,18,19
1994-03-20,24,29,23,19,23
1994-03-21,43,50,34,60,25
1994-03-22,31,45,30,23,25
1994-03-23,28,34,27,24,23
1994-03-24,36,36,38,32,20
1994-03-25,19,36,26,27,26
1994-03-26,19,24,25,22,22
1994-03-27,19,33,27,24,23
1994-03-28,20,35,26,20,20
1994-03-29,17,34,22,26,26
1994-03-30,37,86,35,99,32
1994-03-31,51,66,43,74,43
1994-04-01,47,56,62,60,38
1994-04-02,24,51,30,24,45
1994-04-03,26,39,31,29,25
1994-04-04,30,39,35,43,28
1994-04-05,31,45,51,44,41
1994-04-06,39,39,61,43,38
1994-04-07,73,156,151,25,125
1994-04-08,28,96,35,34,35
1994-04-09,49,150,71,55,58
1994-04-10,40,94,58,54,37
1994-04-11,92,46,75,20,29
1994-04-12,26,34,29,25,22
1994-04-13,24,34,24,23,23
1994-04-14,18,22,19,23,37
1994-04-15,32,42,27,32,26
1994-04-16,43,36,30,34,30
1994-04-17,61,36,58,48,25
1994-04-18,21,56,43,56,42
1994-04-19,42,58,52,73,46
1994-04-20,53,43,45,54,36
1994-04-21,28,68,57,70,57
1994-04-22,50,77,57,52,54
1994-04-23,90,73,51,63,40
1994-04-24,62,59,57,67,38
1994-04-25,103,67,68,59,39
1994-04-26,93,190,119,73,43
1994-04-27,73,191,122,62,92
1994-04-28,62,212,139,53,74
1994-04-29,43,79,73,66,58
1994-04-30,30,59,57,60,67
1994-05-01,62,64,70,50,33
1994-05-02,45,50,61,48,51
1994-05-03,27,48,46,44,38
1994-05-04,24,41,40,33,31
1994-05-05,23,38,28,25,42
1994-05-06,41,43,47,43,35
1994-05-07,50,44,42,38,41
1994-05-08,61,39,55,22,41
1994-05-09,24,35,30,31,27
1994-05-10,39,53,38,38,67
1994-05-11,54,48,30,18,42
1994-05-12,53,47,52,22,23
1994-05-13,34,68,66,35,69
1994-05-14,30,37,64,28,69
1994-05-15,63,58,49,32,82
1994-05-16,71,66,61,55,102
1994-05-17,63,68,112,33,71
1994-05-18,27,65,76,56,61
1994-05-19,25,41,48,51,52
1994-05-20,53,69,86,27,77
1994-05-21,117,147,100,44,46
1994-05-22,24,48,54,34,60
1994-05-23,32,65,84,42,69
1994-05-24,60,158,92,46,52
1994-05-25,56,88,124,63,65
1994-05-26,214,228,220,203,135
1994-05-27,34,49,48,46,48
1994-05-28,37,56,60,36,42
1994-05-29,89,145,68,42,60
1994-05-30,135,468,207,120,75
1994-05-31,199,312,287,187,66
1994-06-01,133,193,198,60,72
