"","STATION","LAT","LONG"
"1","SINGLETON",151.1768805,-32.5574849
"2","CAMBERWELL",151.091803,-32.472333
"3","BULGA",151.03602,-32.648705
"4","WYBONG",150.673511,-32.195047
"5","ABERDEEN",150.885928,-32.177344
"6","WARKWORTH",151.02721,-32.57401
"7","NEWCASTLE",151.759634,-32.931176
"8","BERESFIELD",151.661018,-32.796787
"9","STOCKTON",151.784274,-32.901973
"10","CARRINGTON",151.763302,-32.909718
"11","LIVERPOOL",150.9073,-33.9313
"12","BRINGELLY",150.76193,-33.91765
"13","RICHMOND",150.747347,-33.616436
"14","RANDWICK",151.242802,-33.931776
"15","OAKDALE",150.49819,-34.05171
"16","EARLWOOD",151.13579,-33.91618
"17","CHULLORA",151.04606,-33.89157
"18","PROSPECT",150.914185,-33.794246
"19","CAMDEN",150.690141,-34.0417
"20","WOLLONGONG",150.887328,-34.417064
"21","BARGO",150.5806,-34.3063
"22","WYONG",151.432414,-33.278966
"23","ARMIDALE",151.661658,-30.50845
"24","ORANGE",149.094392,-33.274417
"25","GOULBURN",149.724212,-34.734506
"26","GUNNEDAH",150.260666,-30.981876
"27","TAMWORTH",150.914496,-31.109909
"28","ALBURY",146.9398,-36.05183
"29","BATHURST",149.57459,-33.401922
"30","NARRABRI",149.829379,-30.31843
